Ingredient,Qty,Price,Subtotal
Limes,1.0,0.69,0.69
Yellow Bell Peppers,0.15927680324941973,0.006591821,0.0010499241764723932
Spur Tree Curry Seasoning,4.71036298428852,0.011605135,0.05466439833167116
Red Bell Peppers,53.11966095293753,0.004387199,0.23304652341306656
Jalapeno Peppers,2.2269450364434142,0.004387199,0.009770051036939509
Ground Beef 80 Lean,190.37133996209687,0.00945783,1.8004997702337187
Lemons,2.0,0.39,0.78
Badia Cinnamon Powder,6.926117199684663,0.048678073,0.33715003865280563
Badia Ground Cumin,5.775638588041694,0.024339036,0.14057347551733598
Badia Thyme Leaves,3.290391386782232,0.048678073,0.16016991212435674
Best Yet Extra Virgin Olive Oil,15.293522903225806,0.007225343,0.11050094865416227
Regal Nonpareil Frozen Green Beans,381.23623358520547,0.002744755,1.0464000583141606
Best Yet Plain Bread Crumbs,62.58734916460394,0.00373904,0.2340166020204207
Best Yet Frozen Cut Corn,173.70065866510535,0.003284888,0.5705872092411006
Carrots,147.22147925764187,0.00152119,0.22395184203193225
Large Brown Eggs,1.0,0.165833333,0.165833333
Best Yet Lite Italian Dressing,8.255544665201525,0.003725813,0.030758615635688488
Daily Table Raisins,36.48543158880543,0.006731448,0.24559978549760117
Butternut Squash,5.48076923076923,0.001741652,0.00954559269230769
Badia Garlic Salt,7.401330338978881,0.012463468,0.09224624383729244
Chicken Drumsticks,235.04435948480574,0.003064425,0.7202758113142258
Badia Chili Powder,21.534202219444264,0.022434242,0.4831035038679497
Green Pears,0.9556608194965184,0.002843963,0.002717864011197777
Best Yet Pure Olive Oil,4.71036298428852,0.006887195,0.03244118839357697
Badia Rosemary,7.646761451612903,0.048678073,0.3722296121551989
Pork Chops,181.37902836833172,0.006591821,1.1956180881579648
Equal Exchange French Vanilla,1.5202262384756742,0.011728594,0.01783011633922836
Blood Oranges,1.0,0.79,0.79
Holsum White Bread,1.5421538151513188,0.004391609,0.006772536574002869
White Onions,33.74434702778066,0.003284887,0.11084636687504533
Fuji Apples,4.38969017094017,0.00350535,0.015387400440705126
Goya Red Kidney Beans,1.5827069751250076,0.002252982,0.00356581032623109
Yellow Onions,204.54523286962652,0.001741652,0.3562466139178508
Red Potatoes,153.02995743838147,0.001300727,0.1990501974489536
Garlic,8.478474091739464,0.009898755,0.08392633780797648
Ga Whiting Fillets,571.044113877021,0.006602844,3.770515201048205
Badia Ground Oregano,4.304670867743248,0.037390404,0.1609533828319506
Planet Oat Original Oat Milk,109.4562947664163,0.002497497,0.27336676781024044
Badia Whole Black Pepper,2.8965234900089616,0.048678073,0.140997181892871
Exceptional Value Canola Oil,15.058003904217898,0.001976812,0.029766842813904792
Best Yet Vegetable Oil,36.51941344137244,0.003292207,0.12022946856758045
Daily Table Walnuts,41.45068411063205,0.016270117,0.6744074802100244
Green Bell Peppers,55.587454493024204,0.003284887,0.1825985066272268
Best Yet Light Brown Sugar,66.88340393215171,0.002634524,0.17620593286094804
Badia Cajun Seasoning,4.054507462164816,0.020394766,0.08269073093610528
Zucchini Squash,0.7341920374707258,0.002182576,0.0016024299203747068
Tomato Medley,0.7298525298466185,0.008783217,0.006410453147641827
Best Yet Tomato Sauce,113.89769847972971,0.00216053,0.24607939449641042
Goya Medium Grain Brown Rice,224.34678205198733,0.002744755,0.6157769517711026
Hood All Natural Sour Cream,24.327046006885666,0.0043872,0.1067276162414088
Beefsteak Tomatoes,0.7341920374707258,0.002182576,0.0016024299203747068
Cloverdale Salted Butter,37.20542797582581,0.006150898,0.22884679252565104
Baby Spinach,81.18734422775967,0.004387199,0.35618503540868296
Goya Black Beans,1.1132812499999998,0.002252982,0.0025082026171874996
Badia Italian Seasoning,0.9648264944598401,0.075909574,0.07323956817835982
Best Yet Garbanzo Beans,0.35040468419195475,0.002025408,0.0007097124505998586
Large White Eggs,1.0,0.190833333,0.190833333
Sweet Potatoes,1.8711601225771088,0.00152119,0.0028463900668630722
