Nutrients
Total Calories (kcal)
Total Fat (g)
Saturated Fat (g)
Cholesterol (mg)
Sodium (mg)
Carbohydrates (g)
Dietary Fiber (g)
Total Sugars (g)
Protein (g)
Vitamin D (mcg)
Calcium (mg)
Iron (mg)
Potassium (mg)
Monounsaturated Fat (g)
Polyunsaturated Fat (g)
Linoleic Acid (g)
α-Linolenic Acid (g)
Omega 3 - EPA (mg)
Omega 3 - DHA (mg)
Copper (mcg)
Magnesium (mg)
Phosphorus (mg)
Selenium (mcg)
Zinc (mg)
Vitamin A (mcg)
Vitamin B6 (mg)
Vitamin B12 (mcg)
Vitamin C (mg)
Vitamin E (mg)
Vitamin K (mcg)
Folate (mcg)
Thiamin (mg)
Riboflavin (mg)
Niacin (mg)
Choline (mg)
Vitamin B12 (mg)
Copper (mg)
Selenium (mg)
Vitamin D (mg)
Zinc (mcg)
Iron (g)
Phosphorus (mcg)
