Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg),Vitamin B12 (mg),Copper (mg),Selenium (mg),Vitamin D (mg),Zinc (mcg),Iron (g),Phosphorus (mcg)
Fruit & Feta Salad,221,15,4,17,223,18,2,14,6,0,155,2,631,6,4,3,0.2,0,0,246,79,158,4,2,391,0.3,0.3,49,3,227,117,0.2,0.3,2,26,0,0,0,0,0,0,0
Fruit and Peanut Butter Dip,181,8,2,0,73,25,4,18,6,0,60,1,457,4,2,2,0,0,0,168,49,118,2,1,4,0.2,0.1,26,2,7,33,0.1,0.1,2,26,0,0,0,0,0,0,0
Fruit and Yogurt Breakfast Shake,168,1,1,3,43,37,3,27,4,0,127,1,531,0,0,0,0.1,0,0,139,42,113,4,1,10,0.4,0.3,71,0,2,45,0.1,0.2,1,21,0,0,0,0,0,0,0
Fruit Cole Slaw,180,0,0,1,244,44,3,39,4,0,121,1,393,0,0,0,0,0,0,92,28,100,2,1,16,0.2,0.3,32,0,60,44,0.1,0.2,1,20,0,0,0,0,0,0,0
Fruit Crisp,167,7,1,0,99,26,2,14,2,0,12,1,100,4,2,1,0.6,0,0,51,12,37,4,0,2,0,0,3,1,6,28,0.1,0.1,1,5,0,0,0,0,0,0,0
Fruit Dip,135,1,1,3,42,30,4,25,4,0,117,0,348,0,0,0,0,0,0,92,21,105,3,1,16,0.1,0.3,12,0,4,17,0.1,0.2,1,17,0,0,0,0,0,0,0
Fruit Dippers,99,3,1,2,37,17,2,13,3,0,64,0,278,1,1,1,0,0,0,70,24,74,2,1,26,0.2,0.2,19,0,3,21,0.1,0.1,1,13,0,0,0,0,0,0,0
Fruit Juice Slush,25,0,0,0,5,6,0,6,0,0,8,0,83,0,0,0,0,0,0,32,8,9,0,0,1,0,0,21,0,0,2,0,0,0,4,0,0,0,0,0,0,0
Fruit Kabob,84,0,0,0,3,22,2,14,0,0,12,0,329,0,0,0,0,0,0,87,26,24,1,0,49,0.3,0,25,0,0,15,0.1,0.1,1,11,0,0,0,0,0,0,0
Fruit Kabobs with Yogurt Dip,61,0,0,1,18,14,2,11,2,0,56,0,230,0,0,0,0,0,0,106,16,50,1,0,8,0.1,0.1,45,0,11,18,0.1,0.1,0,10,0,0,0,0,0,0,0
Fruit Milk Shakes,214,1,0,6,150,42,3,30,11,3,368,0,906,0,0,0,0,0,0,127,67,317,10,1,199,0.5,1.3,11,0,1,38,0.2,0.6,1,59,0,0,0,0,0,0,0
Fruit Pizza To Go,157,2,0,2,352,29,5,9,9,0,230,2,246,0,1,0,0,0,0,158,50,277,25,1,9,0.1,0.2,18,0,3,42,0.2,0.2,2,23,0,0,0,0,0,0,0
Fruit Salad with Yogurt,171,4,2,7,88,28,4,22,8,0,264,1,527,2,1,1,0.1,0,0,165,49,221,3,1,20,0.2,0.7,78,1,10,47,0.1,0.4,1,30,0,0,0,0,0,0,0
Fruit Slush,37,0,0,0,22,9,1,8,1,0,14,0,287,0,0,0,0.1,0,0,57,14,17,0,0,176,0.1,0,40,0,3,23,0,0,1,8,0,0,0,0,0,0,0
Fruit Smoothie,218,2,1,6,78,46,3,37,7,1,207,1,714,0,0,0,0,0,0,132,47,189,6,1,29,0.3,0.6,19,1,3,29,0.1,0.3,1,30,0,0,0,0,0,0,0
Fruit Smoothie II,178,2,1,10,100,33,4,22,8,1,293,1,693,1,0,0,0.1,0,0,128,51,233,8,1,84,0.3,0.9,72,1,4,48,0.1,0.4,1,44,0,0,0,0,0,0,0
Fruit Snake,108,0,0,0,1,28,3,15,1,0,6,0,431,0,0,0,0,0,0,96,32,27,1,0,4,0.4,0,10,0,1,24,0,0.1,1,12,0,0,0,0,0,0,0
Fruit Sorbet,53,0,0,0,5,14,2,12,1,0,7,0,155,0,0,0,0,0,0,61,9,21,0,0,23,0,0,4,1,2,4,0,0,1,5,0,0,0,0,0,0,0
Fruit Yogurt Parfait,379,9,2,5,81,67,5,48,11,1,220,2,759,3,3,3,0.2,0,0,434,93,313,13,2,17,0.4,0.6,9,4,14,49,0.3,0.4,1,42,0,0,0,0,0,0,0
Fruit Yogurt Pops,26,0,0,1,9,5,1,4,1,0,27,0,74,0,0,0,0,0,0,27,6,25,1,0,2,0,0.1,18,0,1,9,0,0,0,4,0,0,0,0,0,0,0
Fruity Homemade Oatmeal,181,3,1,0,15,37,5,13,5,0,42,2,260,1,1,1,0,0,0,189,52,142,9,2,2,0.1,0,3,0,3,12,0.1,0.1,1,15,0,0,0,0,0,0,0
Fruity Thai Pita Pockets,370,17,2,0,550,42,6,13,13,0,80,3,597,8,5,5,0.1,0,0,398,116,291,23,2,161,0.4,0.1,54,4,152,106,0.2,0.2,6,51,0,0,0,0,0,0,0
Fudgy Fruit,151,6,2,0,2,24,4,13,3,0,16,1,378,3,2,2,0.1,0,0,168,45,63,2,1,2,0.3,0,27,1,1,36,0.1,0.1,2,15,0,0,0,0,0,0,0
Full of Beans Hot Dish,304,6,2,36,441,43,8,16,21,0,86,4,708,2,1,0,0.2,0,0,333,74,279,14,4,5,0.3,1.3,4,1,6,103,0.2,0.2,3,77,0,0,0,0,0,0,0
Garden Cannellini Bean Salad,250,9,1,0,60,33,9,8,11,0,100,4,1695,7,3,2,0.2,0,0,901,201,360,3,4,106,0.3,0,54,7,94,243,0.4,0.3,2,95,0,0,0,0,0,0,0
Garden Chili,238,8,3,54,413,20,5,7,21,0,53,4,805,3,1,1,0.1,0,0,245,57,244,15,5,65,0.5,1.9,26,2,21,75,0.2,0.2,7,80,0,0,0,0,0,0,0
Garden Frittata,180,7,2,185,240,22,3,3,9,1,80,3,900,3,1,1,0.2,2,19,0,65,226,17,1,434,0.6,0.6,126,2,477,72,0.2,0.4,2,140,0,1179000,0,0,0,0,0
Garden Orchard Salad,106,5,1,1,44,13,3,8,5,0,77,1,324,2,1,1,0,0,0,109,32,101,2,1,146,0.1,0.1,33,1,44,47,0.1,0.1,2,22,0,0,0,0,0,0,0
Garden Pasta Salad,34,1,0,0,98,5,1,1,1,0,6,0,48,0,1,0,0.1,0,0,29,5,13,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden Vegetable Soup,55,1,0,0,701,11,4,5,3,0,77,2,461,0,0,0,0.1,0,0,123,27,64,1,0,199,0.2,0.1,30,1,45,42,0.4,0.1,2,25,0,0,0,0,0,0,0
Garden Waldorf Salad,165,6,1,3,122,23,5,15,8,0,165,1,646,3,1,1,0,0,0,129,50,189,5,1,298,0.3,0.3,72,1,91,87,0.1,0.3,2,45,0,0,0,0,0,0,0
Garlic Bok Choy,70,4,0,0,570,8,3,3,5,0,303,2,726,1,2,1,0.3,0,0,74,54,111,2,1,624,0.6,0,128,1,131,185,0.1,0.2,1,19,0,0,0,0,0,0,0
Garlic Ginger Ramen with Beef,230,9,4,24,525,26,4,3,12,0,45,3,304,3,1,1,0,1,0,152,34,131,12,2,166,0.2,0,4,1,38,52,0.2,0.2,4,43,900,0,0,0,0,0,0
Garlic Stuffed Chicken,240,15,4,133,98,3,0,0,23,0,34,2,341,6,3,0,0,0,0,99,28,219,25,2,40,0.5,0.4,13,0,97,14,0.1,0.2,6,69,0,0,0,0,0,0,0
Gazpacho,170,10,2,0,160,18,2,5,3,0,54,1,504,7,1,1,0.1,0,3,179,29,83,5,1,80,0.3,0.1,51,2,23,59,0.2,0.1,2,36,0,0,0,0,0,0,0
Gazpacho Soup,93,6,1,1,263,9,3,6,2,0,33,1,417,2,2,2,0.3,0,0,136,25,47,1,0,44,0.3,0,50,2,23,23,0.1,0.1,3,15,0,0,0,0,0,0,0
Ginger Bread Mix,492,1,0,0,614,109,4,30,11,0,42,5,141,0,0,0,0,0,0,163,27,112,35,1,0,0.1,0,0,0,1,291,0.8,0.5,6,11,0,0,0,0,0,0,0
Glazed Carrots,80,4,1,0,102,11,3,6,1,0,35,0,322,2,1,1,0.2,0,0,50,13,35,0,0,874,0.1,0,6,1,18,19,0.1,0.1,1,9,0,0,0,0,0,0,0
Glazed Meatloaf,228,7,2,162,454,12,2,3,31,0,45,3,519,2,2,1,0.1,3,15,186,56,343,0,3,53,1,0.9,16,1,9,28,0.2,0.3,10,125,0,0,38000,0,0,0,0
Golden Split Pea Soup,238,3,1,0,60,42,11,6,14,0,43,2,926,1,1,1,0.1,0,0,379,62,210,1,2,0,0.4,0.1,20,0,10,87,0.3,0.1,4,51,0,0,0,0,0,0,0
Grandma's Stuffing,140,2,1,24,306,22,3,5,8,1,136,1,225,1,1,1,0.1,0,4,118,41,156,15,1,39,0.1,0.3,1,1,6,28,0.2,0.2,2,38,0,0,0,0,0,0,0
Granola Bars,168,7,2,0,44,24,2,15,4,0,14,1,171,3,2,2,0,0,0,120,39,100,4,1,22,0.1,0,0,1,1,13,0.1,0,2,16,0,0,0,0,0,0,0
Grape and Cashew Salad Sandwich,380,16,4,5,430,45,6,16,19,0,150,4,556,7,0,2,0.1,0,0,839,126,341,33,3,89,0.3,0,9,1,108,80,0.4,0.3,3,47,0,0,0,0,0,0,0
Grape Salsa,17,0,0,0,74,4,0,3,0,0,5,0,63,0,0,0,0,0,0,35,3,8,0,0,5,0,0,10,0,10,4,0,0,0,2,0,0,0,0,0,0,0
Grapefruit Spinach Salad,132,9,1,0,294,11,2,7,2,0,38,1,310,4,4,3,0.6,0,0,136,32,42,2,0,145,0.1,0,38,2,119,57,0.1,0.1,1,19,0,0,0,0,0,0,0
Great Northern Bean Soup,327,7,1,40,260,41,13,3,25,0,153,6,1027,3,3,2,0.4,2,7,513,110,272,15,3,16,0.4,0,5,0,0,0,0,0,0,0,200,0,0,0,0,0,0
Greek Pork Chops,155,7,2,53,337,1,0,0,20,0,23,1,315,2,3,1,0,0,0,71,22,209,32,2,2,0.4,0.5,0,1,11,2,0.5,0.2,6,75,0,0,0,0,0,0,0
Greek Salad with Chicken,173,7,2,42,522,12,6,5,18,0,208,2,836,3,1,1,0.1,1,2,333,57,214,14,2,462,0.5,0,24,2,338,220,0.2,0.3,4,57,300,0,0,0,0,0,0
Green Bean and Mushroom Medley,111,8,1,0,245,8,3,4,3,0,42,1,340,5,1,0,0,0,0,228,32,88,4,1,142,0.2,0,8,2,12,29,0.1,0.3,2,19,0,0,0,0,0,0,0
Green Bean and Rice Casserole,114,2,0,0,183,21,3,3,3,0,47,2,210,1,1,1,0.2,0,0,104,20,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Bean Saute,32,0,0,0,175,6,2,2,2,0,34,1,153,0,0,0,0.1,0,0,76,13,33,2,0,13,0.1,0,4,0,28,26,0,0.1,1,14,0,0,0,0,0,0,0
Green Beans and New Potatoes,204,0,0,0,112,46,8,4,6,0,65,2,1105,0,0,0,0.1,0,0,298,69,157,1,1,22,0.7,0,49,0,14,58,0.2,0.2,3,39,0,0,0,0,0,0,0
Green Beans with Tomatoes and Basil,73,3,0,0,87,12,5,6,3,0,69,2,395,2,0,0,0.1,0,0,121,37,59,1,0,56,0.3,0,24,1,31,47,0.5,0.2,1,22,0,0,0,0,0,0,0
Green Onion Omelet,184,7,1,55,283,16,3,2,15,1,43,1,363,2,2,2,0.2,0,7,110,21,110,15,1,30,0.3,0,7,1,9,16,0.1,0.3,2,58,300,0,0,0,0,0,0
Grilled Asparagus and Shrimp Quinoa Salad with Lemon Vinaigrette,460,16,2,115,420,51,7,6,29,0,200,6,860,14,4,4,0.4,68,100,752,192,552,33,4,96,0.6,0.8,54,6,56,216,0.4,0.4,4,156,0,0,0,0,0,0,0
Grilled Cheese with Peaches,376,11,4,12,719,47,8,17,25,0,468,6,1055,3,3,3,0.6,0,0,380,168,473,24,3,727,0.4,0.3,40,6,696,313,0.4,0.5,4,55,0,0,0,0,0,0,0
Grilled Chicken and Avocado Quinoa Pilaf,460,16,2,45,240,54,7,3,28,0,60,5,1047,12,5,4,0.3,8,45,603,180,540,0,4,82,1.1,0.3,60,4,32,170,0.3,0.5,14,131,0,0,29000,0,0,0,0
Grilled Fish Tacos with Peach Salsa,330,5,2,55,380,44,3,18,27,3,104,3,590,3,2,1,0.1,4,106,239,53,267,59,1,96,0.3,1.5,34,3,10,119,0.4,0.3,7,53,0,0,0,0,0,0,0
Grilled Fruit,104,0,0,0,1,27,2,21,1,0,17,0,337,0,0,0,0,0,0,136,27,24,1,0,11,0.2,0,15,0,2,14,0.1,0.1,1,11,0,0,0,0,0,0,0
Grilled Pineapple Ginger Glazed Chicken with Zucchini and Peppers,460,8,2,70,396,66,7,31,34,0,98,3,833,4,1,1,0.2,8,17,455,109,362,50,2,112,1,0.3,145,2,18,89,0.4,0.3,14,103,0,0,0,0,0,0,0
Grilled Vegetable Packets,133,0,0,0,144,29,4,5,4,0,38,2,868,0,0,0,0.1,0,0,222,51,132,1,1,12,0.6,0,54,0,7,51,0.2,0.2,2,26,0,0,0,0,0,0,0
Grilled Vegetables,149,5,1,0,48,25,4,7,3,0,45,1,459,2,2,2,0.3,0,0,161,41,87,1,1,480,0.2,0,11,1,69,48,0.1,0.1,1,21,0,0,0,0,0,0,0
Ground Beef Stew,252,3,1,33,525,41,7,13,16,0,68,3,1136,1,0,0,0.1,0,0,340,61,222,14,4,779,0.7,1.3,39,1,17,45,0.2,0.2,6,70,0,0,0,0,0,0,0
Ham and Swiss Breakfast Casserole,251,11,6,112,0,17,2,4,20,1,332,2,245,4,1,1,0.2,1,6,146,37,334,26,3,111,0.2,1.6,0,0,2,42,0.4,0.4,2,83,0,0,0,0,0,0,0
Hearty Beef Soup,130,4,1,14,214,10,2,3,8,0,29,1,275,1,1,1,0.2,0,0,0,16,48,0,1,41,0.2,0.2,20,1,18,26,0.1,0.1,1,20,0,88000,6000,0,0,0,0
Hearty Mashed Potatoes,221,2,1,3,185,41,7,5,10,0,117,2,798,1,1,1,0.1,0,0,284,58,211,4,1,26,0.5,0.2,29,0,5,71,0.2,0.2,2,45,0,0,0,0,0,0,0
Hearty Mexican Soup,309,1,0,0,322,62,19,5,16,0,140,6,1360,0,0,0,0.1,0,0,642,117,323,4,2,13,0.6,0,41,2,16,162,0.5,0.4,3,72,0,0,0,0,0,0,0
Hearty Vegetable Beef Soup,173,3,1,28,331,25,6,6,12,0,73,3,478,1,1,0,0,1,0,228,43,150,15,2,217,0.3,0.5,16,1,29,76,0.8,0.3,4,62,0,0,0,0,0,0,0
Hearty Vegetable Salad with Herb Dressing,174,9,1,0,281,19,6,3,6,0,56,3,456,4,3,3,0.5,0,0,209,38,114,2,1,138,0.2,0,37,1,46,109,0.1,0.1,1,40,0,0,0,0,0,0,0
Heavenly Deviled Eggs,90,6,2,212,174,1,0,1,6,40,25,1,65,2,1,1,0.1,3,19,0,5,86,16,1,7,0.1,0.6,0,1,2,22,0,0.3,0,113,0,0,0,0,0,0,0
Herb Broiled Beef,155,5,2,71,83,2,0,1,24,0,21,2,229,2,0,0,0,2,1,95,21,155,25,6,8,0.2,1.7,3,0,34,14,0.1,0.2,4,92,0,0,0,0,0,0,0
Herb Spinach Bake,133,6,3,15,253,15,2,2,6,0,146,2,255,2,0,0,0.1,0,0,153,66,138,8,1,317,0.1,0.2,8,1,249,55,0.1,0.2,1,21,0,0,0,0,0,0,0
Herbed Garden Pizza,300,17,3,5,300,42,8,0,10,0,200,3,430,5,1,1,0.1,0,0,276,59,264,25,2,123,0.3,0.2,12,2,82,62,0.2,0.2,3,27,0,0,0,0,0,0,0
Herbed Spinach Quiche Portabella Caps,190,6,2,145,330,14,4,4,17,9,203,3,648,2,1,1,0.2,2,14,420,61,270,45,2,377,0.3,0.8,1,2,277,128,0.3,0.7,5,131,0,0,0,0,0,0,0
Herbed Vegetables,50,2,0,0,283,6,2,2,2,0,20,1,187,1,1,1,0.1,0,0,48,11,28,0,0,371,0.1,0,3,1,14,16,0,0,0,12,0,0,0,0,0,0,0
Hiding Rabbits,103,9,2,0,74,4,2,2,4,0,17,0,208,4,2,2,0,0,0,87,34,78,1,1,4,0.1,0,7,2,7,25,0,0,2,22,0,0,0,0,0,0,0
Homemade Cranberry Sauce,122,0,0,0,1,31,2,28,0,0,10,0,62,0,0,0,0,0,0,32,4,7,0,0,3,0,0,14,0,2,5,0,0,0,3,0,0,0,0,0,0,0
Homemade Mashed Potatoes,92,5,1,2,347,11,1,2,2,0,45,0,273,2,1,1,0.1,0,0,63,16,60,1,0,61,0.2,0.2,11,0,6,10,0.1,0.1,1,13,0,0,0,0,0,0,0
Homemade Pizza Crust,137,2,0,0,148,25,1,0,5,0,6,2,44,1,1,1,0.1,0,0,70,9,40,14,0,0,0,0,0,0,1,122,0.4,0.2,3,4,0,0,0,0,0,0,0
Homestyle Biscuits,96,3,0,0,146,15,0,2,2,0,51,1,35,1,1,1,0.2,0,0,25,5,41,6,0,2,0,0,0,0,3,49,0.1,0.1,1,4,0,0,0,0,0,0,0
Honey Baked Lentils,321,3,1,20,44,52,15,18,23,0,57,7,839,1,0,0,0.1,0,0,514,77,388,10,4,153,0.5,0,5,0,9,334,0.3,0.2,4,82,700,0,0,0,0,0,0
Honey Lemon Chicken,115,3,0,22,317,15,0,9,8,0,7,1,102,1,1,1,0.1,3,10,35,11,77,8,0,5,0.2,0,3,0,4,26,0.1,0.1,3,0,100,0,0,0,0,0,0
Honey Milk Balls,41,2,0,0,25,5,0,5,1,0,26,0,61,1,0,0,0,0,0,20,9,34,1,0,19,0,0.1,0,0,0,12,0,0,1,6,0,0,0,0,0,0,0
Honey Mustard Dressing,92,8,1,0,50,5,0,5,0,0,4,0,18,3,3,3,0.5,0,0,8,3,6,1,0,0,0,0,0,1,9,1,0,0,0,1,0,0,0,0,0,0,0
Honey Mustard Pork Chops,238,6,2,88,280,4,0,3,38,1,18,1,393,3,1,1,0.1,0,0,121,34,297,53,3,5,0.7,0.8,10,0,1,8,0.7,0.3,13,133,0,0,0,0,0,0,0
Honeydew Summer Salad Wedges,93,0,0,0,74,22,1,20,2,0,13,0,313,0,0,0,0.1,0,0,58,16,33,2,0,4,0.1,0,33,0,4,29,0.1,0,1,11,0,0,0,0,0,0,0
Hooked on Salmon Sticks,112,5,1,50,262,5,0,0,11,7,106,1,173,2,2,1,0.2,171,321,47,16,175,18,0,22,0.1,2.2,0,1,3,22,0.1,0.1,3,59,0,0,0,0,0,0,0
"Hoppin' John (Sausage, Black-Eyed Peas, and Rice)",224,3,1,4,999,43,7,4,7,0,148,2,565,1,1,1,0.2,0,1,265,95,139,16,2,47,0.3,0.1,21,1,31,141,0.2,0.2,3,56,0,0,0,0,0,0,0
Horchata,259,1,0,1,22,59,1,28,4,0,57,1,80,0,0,0,0,0,0,106,19,70,9,1,14,0.1,0.1,0,0,0,105,0.2,0.1,2,7,0,0,0,0,0,0,0
Hot 'N Spicy Seasoning,2,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,6,2,2,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
Huevos Motuleños,352,7,1,25,322,50,12,7,25,0,105,4,881,3,2,2,0.3,0,0,439,104,383,31,3,25,0.5,0,11,2,24,248,0.5,0.4,3,90,200,0,0,0,0,0,0
Huevos Rancheros with Fresh Salsa,204,10,3,193,713,16,3,3,14,1,114,2,364,3,2,2,0.2,0,29,140,40,239,25,1,129,0.3,0.5,13,1,11,42,0.1,0.4,1,157,0,0,0,0,0,0,0
Hummus,117,6,1,0,102,13,4,2,4,0,29,1,141,3,1,1,0.1,0,0,139,20,78,2,1,1,0.1,0,3,1,4,42,0.1,0,0,20,0,0,0,0,0,0,0
Indian Vegetable and Rice Skillet Meal,171,1,0,0,19,34,5,2,6,0,32,2,372,0,1,0,0.1,0,0,188,38,107,5,1,78,0.2,0,10,0,13,104,0.2,0.1,2,24,0,0,0,0,0,0,0
Instant Chocolate Mousse,183,4,1,0,435,29,1,22,8,1,176,2,247,1,2,2,0.3,0,0,338,45,121,9,1,40,0.1,0.6,0,0,4,40,0.1,0.2,1,39,0,0,0,0,0,0,0
Italian Bean Patties,140,5,1,23,168,19,4,1,5,0,50,2,181,2,2,2,0.3,0,4,129,25,87,6,1,11,0.1,0.1,1,1,8,53,0.2,0.1,1,31,0,0,0,0,0,0,0
Italian Bean Soup,137,1,0,0,491,27,7,5,8,0,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italian Broccoli and Pasta,194,1,0,1,37,39,4,4,8,0,76,3,420,0,0,0,0,0,0,222,44,132,28,1,22,0.2,0,42,1,52,201,0.5,0.3,4,21,0,0,0,0,0,0,0
Italian Pasta Salad,135,1,0,0,183,27,3,3,5,0,28,1,195,0,0,0,0,0,0,109,22,80,19,1,157,0.1,0,33,1,32,108,0.2,0.2,2,11,0,0,0,0,0,0,0
Italian Style Vegetables,102,4,1,0,15,16,4,6,3,0,39,1,360,3,1,1,0.1,0,0,73,29,71,0,1,23,0.2,0,34,1,50,51,0.1,0.1,1,25,0,0,0,0,0,0,0
Italian Vegetables,316,2,0,1,176,61,5,5,12,0,56,3,434,0,1,1,0.1,0,0,262,56,150,47,1,22,0.3,0,27,1,32,246,0.5,0.3,5,31,0,0,0,0,0,0,0
Ivory Coast Bananas with Caramel Sauce,178,6,4,16,14,32,2,25,2,0,36,0,249,2,0,0,0,0,0,50,19,36,1,0,63,0.2,0,5,0,1,13,0,0.1,0,10,0,0,0,0,0,0,0
Jiffy Oatmeal Crunch,83,3,1,0,49,13,1,8,1,0,10,0,64,2,1,1,0.2,0,0,39,10,27,2,0,31,0,0,0,1,4,2,0,0,0,3,0,0,0,0,0,0,0
Jollof Rice,284,11,3,32,113,33,2,5,13,0,47,3,544,5,2,2,0.1,5,23,271,39,164,15,1,56,0.4,0.2,16,2,7,98,0.4,0.2,6,47,0,0,0,0,0,0,0
Julia’s Sauteed & Steamed Collards,54,4,1,0,15,5,3,0,2,0,111,0,135,2,1,0,0.1,0,0,37,8,10,1,0,242,0.1,0,26,2,373,120,0,0.1,1,17,0,0,0,0,0,0,0
Kale Chips,52,4,1,0,17,4,1,0,2,0,67,1,219,2,1,0,0.1,0,0,670,21,41,0,0,223,0.1,0,54,1,317,14,0.1,0.1,0,0,0,0,0,0,0,0,0
Kale Salad with Yogurt Dressing,304,22,3,1,129,17,4,4,18,0,200,4,714,9,7,6,0.2,0,0,1400,198,461,5,3,345,0.3,0,104,2,484,43,0.1,0.2,2,26,200,0,0,0,0,0,0
Kelly's Herbed Lentils and Rice Casserole,267,4,2,8,673,42,10,3,16,0,155,4,597,1,1,0,0.1,0,0,396,80,351,13,2,23,0.4,0.4,15,0,8,195,0.3,0.2,3,50,0,0,0,0,0,0,0
Layered Black Bean Dip,61,2,1,6,116,7,2,1,3,0,57,1,149,1,0,0,0,0,0,81,17,73,1,0,21,0,0.1,1,0,5,27,0.1,0,0,11,0,0,0,0,0,0,0
Leaf Finger Salad,135,9,1,0,87,12,4,7,3,0,41,1,464,4,3,3,0.1,0,0,268,37,145,7,1,264,0.2,0,8,3,18,88,0.1,0.1,1,16,0,0,0,0,0,0,0
Leafy Tofu,77,5,1,0,317,2,1,1,6,0,155,2,234,2,2,2,0.3,0,0,176,46,102,7,1,94,0.1,0,6,1,101,53,0.1,0.1,0,23,0,0,0,0,0,0,0
Lemon Corn Cake,164,2,0,19,351,33,1,16,4,0,116,1,115,1,1,1,0.1,0,2,44,21,103,9,0,17,0.1,0.2,1,0,1,38,0.1,0.2,1,18,0,0,0,0,0,0,0
Lemon Potatoes,188,7,1,0,10,29,4,2,3,0,22,1,694,2,5,0,0,0,0,179,38,93,1,0,0,0.5,0,39,1,16,28,0.1,0.1,2,20,0,0,0,0,0,0,0
Lemon Spinach,15,0,0,0,48,3,1,0,2,0,60,2,341,0,0,0,0.1,0,0,81,48,30,1,0,281,0.1,0,18,1,290,117,0.1,0.1,0,12,0,0,0,0,0,0,0
Lemon Velvet Supreme,138,1,0,2,189,29,0,23,4,0,128,0,191,0,0,0,0,0,0,64,16,161,4,1,12,0.1,0.4,6,0,1,14,0.1,0.2,1,14,0,0,0,0,0,0,0
Lemonade,108,0,0,0,8,28,0,26,0,0,8,0,49,0,0,0,0,0,0,27,5,4,0,0,0,0,0,18,0,0,9,0,0,0,2,0,0,0,0,0,0,0
Lentil Barley Soup,155,1,0,0,139,30,9,4,9,0,56,4,543,0,0,0,0,0,0,320,50,195,5,2,219,0.3,0,8,1,21,180,0.2,0.1,2,38,0,0,0,0,0,0,0
Lentil Chili,181,5,2,24,236,22,9,6,14,0,77,4,681,2,0,0,0.1,1,0,284,49,213,9,3,47,0.5,0.8,21,2,7,136,0.9,0.2,3,55,0,0,0,0,0,0,0
Lentil Minestrone,167,3,0,0,82,29,8,3,8,0,144,4,896,2,1,0,0.1,0,0,988,69,186,2,1,714,0.5,0,76,2,327,123,0.2,0.2,2,33,0,0,0,0,0,0,0
Lentil Spaghetti Sauce,251,8,3,50,85,23,7,9,21,0,60,4,846,3,1,1,0.2,0,0,288,57,263,15,5,44,0.6,1.7,5,3,20,113,0.2,0.2,9,82,0,0,0,0,0,0,0
Lentil Stew,161,2,0,0,183,28,12,7,10,0,80,4,695,1,1,0,0.1,0,0,353,54,210,4,2,379,0.4,0,19,1,11,189,0.9,0.2,2,44,0,0,0,0,0,0,0
Lentil Tacos,189,1,0,0,57,34,12,6,14,0,53,6,843,0,0,0,0.1,0,0,486,67,276,6,2,32,0.4,0,20,2,9,250,0.3,0.2,2,57,0,0,0,0,0,0,0
Lentil Vegetable Salad,201,10,1,0,259,24,7,4,7,0,29,3,420,7,1,1,0.1,0,0,189,35,130,3,1,231,0.3,0,9,2,27,106,0.2,0.1,2,30,0,0,0,0,0,0,0
Lentil Vegetable Soup,168,5,1,1,571,22,8,4,9,0,37,3,480,2,2,2,0.3,0,0,284,43,179,3,1,14,0.2,0,2,2,14,170,0.2,0.1,3,36,0,0,0,0,0,0,0
Lisa's Famous Dessert,108,0,0,2,221,23,1,20,4,1,134,0,275,0,0,0,0,0,0,46,20,198,3,1,39,0.2,0.5,3,0,0,12,0.1,0.2,0,17,0,0,0,0,0,0,0
Lite Fried Okra,24,1,0,0,76,4,2,1,1,0,41,0,150,0,0,0,0.1,0,0,56,29,31,0,0,18,0.1,0,12,0,17,30,0.1,0,1,6,0,0,0,0,0,0,0
Lite Italian Dressing,67,7,1,0,54,0,0,0,0,0,12,0,17,3,3,3,0.4,0,0,6,2,7,0,0,1,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0
Louisiana Green Beans,77,1,0,0,649,14,8,6,4,0,123,3,484,0,1,0,0.3,0,0,150,41,70,2,1,63,0.2,0,27,1,89,73,0.6,0.2,1,40,0,0,0,0,0,0,0
Low Calorie Dressing,8,0,0,0,239,2,0,1,0,0,5,0,85,0,0,0,0,0,0,23,4,7,0,0,7,0,0,8,0,1,7,0,0,0,3,0,0,0,0,0,0,0
Mac and Beans Medley,340,8,1,0,336,54,13,4,14,0,108,5,773,3,3,3,0.5,0,0,448,81,236,21,1,35,0.4,0,38,3,17,189,1.1,0.2,3,49,0,0,0,0,0,0,0
