Ingredient,Qty,Price,Subtotal
Limes,2.0,0.69,1.38
Yellow Bell Peppers,0.48179611650485443,0.006591821,0.0031759137584951463
Spur Tree Curry Seasoning,14.248368543689324,0.011605135,0.165354240479268
Red Bell Peppers,152.08997662314746,0.004387199,0.6672489933510959
Jalapeno Peppers,7.1076275631701185,0.004387199,0.03118257653751238
Ground Beef 80 Lean,615.0059116983784,0.00945783,5.8166213618382745
Lemons,2.0,0.39,0.78
Badia Cinnamon Powder,17.349585447766433,0.048678073,0.8445443869461121
Badia Ground Cumin,16.663541133015222,0.024339036,0.4055745275239383
Badia Thyme Leaves,6.9942857142857155,0.048678073,0.34046835058285724
Best Yet Extra Virgin Olive Oil,40.54423225806474,0.007225343,0.2929459847361823
Regal Nonpareil Frozen Green Beans,1038.858454040092,0.002744755,2.8514119360188133
Best Yet Frozen Cut Corn,497.3324121779861,0.003284888,1.6336812727745205
Carrots,421.9688706465447,0.00152119,0.6418948263388173
Teddie Peanut Butter Chunky,106.58978374558305,0.003899733,0.41567169713551383
Best Yet Lite Italian Dressing,18.30251184835909,0.003725813,0.06819173657727032
Daily Table Raisins,98.32703732174215,0.006731448,0.6618833387253666
Butternut Squash,11.76923076923077,0.001741652,0.02049790430769231
Badia Garlic Salt,20.411840051331502,0.012463468,0.2544023153008885
Chicken Drumsticks,623.2098987584958,0.003064425,1.9097799940030034
Badia Chili Powder,61.65582109146149,0.022434242,1.3832016110745513
Green Pears,2.890776699029127,0.002843963,0.008221261973300973
Best Yet Pure Olive Oil,14.248368543689324,0.006887195,0.0981312925922544
Badia Rosemary,20.27211612903237,0.048678073,0.9868075487935152
Pork Chops,519.3167970123133,0.006591821,3.423243368198504
Equal Exchange French Vanilla,4.096959678940813,0.011728594,0.048051576708667144
Blood Oranges,2.0,0.79,1.58
Daily Table Tuna Salad,0.9999999999999999,0.008774399,0.008774398999999999
Holsum White Bread,4.156053776400332,0.004391609,0.018251763168923685
White Onions,94.04809530187342,0.003284887,0.30893736563188506
Goya Tomato Paste,354.88124999999997,0.005232305,1.8568469387812496
Fuji Apples,10.606837606837608,0.00350535,0.03718067820512821
Broccoli,118.29374999999999,0.002843963,0.33642304813124996
Goya Red Kidney Beans,4.531539970884234,0.002252982,0.010209477986682704
Yellow Onions,550.8405850064837,0.001741652,0.9593726065577124
Red Potatoes,437.15520249658323,0.001300727,0.5686195750777732
Garlic,23.841972886914395,0.009898755,0.23600584832420832
Ga Whiting Fillets,833.6474690208046,0.006602844,5.504444188939205
Badia Ground Oregano,12.324952379222763,0.037390404,0.46083494873990033
Planet Oat Original Oat Milk,294.9811119652265,0.002497497,0.7367144421898173
Badia Whole Black Pepper,4.714121074241743,0.048678073,0.22947432978277799
Exceptional Value Canola Oil,51.443566283153025,0.001976812,0.1016942591513323
Best Yet Vegetable Oil,104.56084690581488,0.003292207,0.3442359521092521
Daily Table Walnuts,118.67985345359918,0.016270117,1.9309351012329128
Green Bell Peppers,157.33569090886175,0.003284887,0.5168299657025381
Best Yet Light Brown Sugar,181.8295073029011,0.002634524,0.47903420089766824
Badia Cajun Seasoning,8.618544205714286,0.020394766,0.17577319233619876
Zucchini Squash,2.1021077283372374,0.002182576,0.004588009877283374
Tomato Medley,1.8378779472954234,0.008783217,0.016142480830610265
Jessica S Tuscan Wheat Sliced Bread,3.604240282685512,0.00350976,0.012650018374558302
Best Yet Tomato Sauce,326.1070945945946,0.00216053,0.7045641610844595
Goya Medium Grain Brown Rice,680.0200714285714,0.002744755,1.8664884911539288
Pastalia Spaghetti Pasta,226.79615999999993,0.00199046,0.4514286846335998
Bananas,0.901060070671378,0.000859803,0.0007747341519434629
Hood All Natural Sour Cream,51.71126785714287,0.0043872,0.2268676743428572
Beefsteak Tomatoes,2.1021077283372374,0.002182576,0.004588009877283374
Cloverdale Salted Butter,68.08884141012484,0.006150898,0.4188075184518541
Cheese Flatbread,2.0,1.99,3.98
Baby Spinach,302.39487999999994,0.004387199,1.3266665151411197
Goya Black Beans,3.1874999999999765,0.002252982,0.007181380124999947
Badia Italian Seasoning,3.6004029055663427,0.075909574,0.2733050507899033
Best Yet Garbanzo Beans,1.0032639378969657,0.002025408,0.002032018805928017
Large White Eggs,3.0,0.190833333,0.5724999989999999
Sweet Potatoes,5.357426877273405,0.00152119,0.008149664191439532
